,X,Y,OBJECTID,Geocode_Address,OccurredFrom_Date_Year,OccurredFrom_Date_Month,OccurredFrom_Time,OccurredFrom_Timestamp,OccurredThrough_Date_Year,OccurredThrough_Date_Month,OccurredThrough_Time,OccurredThrough_Timestamp,Statute_Category,Statute_Description,Statute_CrimeCategory,Weapon_Description,Larceny_Type,Location_Type,Latitude,Longitude
3921,-77.5978569140107,43.149336180077704,46298,"300 Monroe Ave, Rochester, NY, 14607",2018,5,1700,2018-05-19T17:00:00.000Z,2018,5,1700,2018-05-19T17:00:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,All Other Larcenies,Restaurant,43.1493232,-77.597836
3922,-77.5978569140107,43.149336180077704,46299,"300 Monroe Ave, Rochester, NY, 14607",2018,3,1700,2018-03-25T17:00:00.000Z,2018,3,1705,2018-03-25T17:05:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,All Other Larcenies,Restaurant,43.1493232,-77.597836
3923,-77.6071995796477,43.1600155093915,46326,"128 N Clinton Ave, Rochester, NY, 14604",2018,9,1401,2018-09-08T14:01:00.000Z,2018,9,1401,2018-09-08T14:01:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,All Other Larcenies,Restaurant,43.1598948,-77.60715119999999
3924,-77.6139027290846,43.1812515632514,46374,"1195 N Clinton Ave, Rochester, NY, 14621",2018,10,1000,2018-10-04T10:00:00.000Z,2018,10,1200,2018-10-04T12:00:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,All Other Larcenies,Yard,43.1812773,-77.6140305
3925,-77.6139027290846,43.1812515632514,46375,"1195 N Clinton Ave, Rochester, NY, 14621",2018,1,706,2018-01-31T07:06:00.000Z,2018,1,706,2018-01-31T07:06:00.000Z,F,Robbery 1st: Displays What Appears To Be a Firearm          ,3,Firearm,* No Larceny Type Specified *,Other Commercial Service Location,43.1812773,-77.6140305
3926,-77.6139027290846,43.1812515632514,46376,"1195 N Clinton Ave, Rochester, NY, 14621",2018,1,1800,2018-01-08T18:00:00.000Z,2018,1,1800,2018-01-08T18:00:00.000Z,F,Robbery 2nd: Causes Physical Injury                         ,3,Unknown,* No Larceny Type Specified *,Street,43.1812773,-77.6140305
3927,-77.6286909537257,43.152261771217496,46382,"600 W Main St, Rochester, NY, 14608",2018,5,2354,2018-05-23T23:54:00.000Z,2018,5,2358,2018-05-23T23:58:00.000Z,F,Burglary 3rd: Illegal Entry with Intent to Commit a Crime   ,5,* No Weapon Specified *,* No Larceny Type Specified *,Restaurant,43.1522639,-77.6287226
3928,-77.56349292288259,43.1666567485186,46403,"501 Melville St, Rochester, NY, 14609",2018,10,800,2018-10-22T08:00:00.000Z,2018,10,1104,2018-10-22T11:04:00.000Z,F,Burglary 2nd: Illegal Entry: Dwelling                       ,5,* No Weapon Specified *,* No Larceny Type Specified *,Single Family Home,43.1666356,-77.56353159999999
3929,-77.608663756666,43.1371434669444,46415,"55 Manor Pkwy, Rochester, NY, 14620",2018,9,2230,2018-09-22T22:30:00.000Z,2018,9,759,2018-09-23T07:59:00.000Z,F,Grand Larceny 4th: Motor Vehicle Value Exceeds $100         ,7,* No Weapon Specified *,Motor Vehicle Theft,Parking Garage,43.1376172,-77.6081392
3930,-77.600321814911,43.18561575540811,46422,"1115 Hudson Ave, Rochester, NY, 14621",2018,9,1223,2018-09-22T12:23:00.000Z,2018,9,1223,2018-09-22T12:23:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,Shoplifting,Other Retail Store,43.1858399,-77.6008796
3931,-77.6437594400077,43.148051259464395,46446,"77 Appleton St, Rochester, NY, 14611",2018,7,1330,2018-07-27T13:30:00.000Z,2018,7,1330,2018-07-27T13:30:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,Theft from Motor Vehicle,Sporting Goods,43.148135,-77.6438857
3932,-77.5788173979221,43.1863042068505,46475,"198 Midland Ave, Rochester, NY, 14621",2018,5,2030,2018-05-10T20:30:00.000Z,2018,5,625,2018-05-11T06:25:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,43.186268,-77.5787579
3933,-77.60093169344191,43.1834656529695,46483,"256 Weyl St, Rochester, NY, 14621",2018,1,914,2018-01-29T09:14:00.000Z,2018,1,914,2018-01-29T09:14:00.000Z,M,Menacing 2nd: Weapon                                        ,4,Knife/Cutting Instrument,* No Larceny Type Specified *,Multiple Dwelling,43.18345009999999,-77.6008707
3934,-77.6015049709524,43.174237450797904,46485,"106 Weeger St, Rochester, NY, 14605",2018,1,1200,2018-01-29T12:00:00.000Z,2018,1,1200,2018-01-31T12:00:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,All Other Larcenies,Financial Institution,43.1741929,-77.601473
3935,-77.5614782938948,43.1612453592189,46507,"127 Macbeth St, Rochester, NY, 14609",2018,1,2030,2018-01-31T20:30:00.000Z,2018,2,715,2018-02-01T07:15:00.000Z,F,Grand Larceny 4th: Motor Vehicle Value Exceeds $100         ,7,* No Weapon Specified *,Motor Vehicle Theft,Street,43.1612263,-77.5614717
3936,-77.541204554243,43.1589242603722,46508,"171 Berwick Rd, Rochester, NY, 14609",2018,8,500,2018-08-27T05:00:00.000Z,2018,8,700,2018-08-27T07:00:00.000Z,F,Grand Larceny 4th: Credit Card                              ,6,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,43.1589221,-77.5412297
3937,-77.62255400299279,43.1650500720567,46515,"226 Smith St, Rochester, NY, 14608",2018,9,0,2018-09-29T00:00:00.000Z,2018,9,1500,2018-09-30T15:00:00.000Z,F,Grand Larceny 3rd: Property Value Exceeds $3000             ,6,* No Weapon Specified *,Theft from Building,Other Building,43.1650943,-77.6226909
3938,-77.6197665736641,43.1503067696782,46522,"15 Waverly Pl, Rochester, NY, 14608",2018,10,1000,2018-10-08T10:00:00.000Z,2018,10,1100,2018-10-08T11:00:00.000Z,F,Grand Larceny 4th: Credit Card                              ,6,* No Weapon Specified *,All Other Larcenies,Other Outside Location,43.1502972,-77.619793
3939,-77.61980224063959,43.18619773424789,46526,"155 Norton St, Rochester, NY, 14621",2018,8,1000,2018-08-04T10:00:00.000Z,2018,8,1500,2018-08-10T15:00:00.000Z,F,Grand Larceny 4th: Value Property Greater Than $1000        ,6,* No Weapon Specified *,All Other Larcenies,Other Building,43.186117,-77.61975939999999
3940,-77.5709203229078,43.161716861898,46546,"57 Sidney St, Rochester, NY, 14609",2018,6,1800,2018-06-04T18:00:00.000Z,2018,6,100,2018-06-05T01:00:00.000Z,F,Burglary 2nd: Illegal Entry: Dwelling                       ,5,* No Weapon Specified *,* No Larceny Type Specified *,Single Family Home,43.1617015,-77.570875
3941,-77.6503968591861,43.170482465727396,46550,"281 Avery St, Rochester, NY, 14606",2018,2,700,2018-02-07T07:00:00.000Z,2018,2,2100,2018-02-07T21:00:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,All Other Larcenies,Single Family Home,43.1704478,-77.6503676
3942,-77.6417636780224,43.1544914725078,46590,"100 Syke St, Rochester, NY, 14611",2018,8,29,2018-08-01T00:29:00.000Z,2018,8,29,2018-08-01T00:29:00.000Z,F,Robbery 1st: Displays What Appears To Be a Firearm          ,3,Firearm,* No Larceny Type Specified *,Street,43.1544833,-77.6418001
3943,-77.63074517919341,43.176507508042,46618,"633 Lake Ave, Rochester, NY, 14613",2018,6,100,2018-06-22T01:00:00.000Z,2018,6,800,2018-06-22T08:00:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,All Other Larcenies,Multiple Dwelling,43.176478,-77.630837
3944,-77.6401959087921,43.2029616135236,46620,"84 Mayflower St, Rochester, NY, 14615",2018,3,1900,2018-03-26T19:00:00.000Z,2018,3,1900,2018-03-26T19:00:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,Theft from Building,Single Family Home,43.2029322,-77.6402559
3945,-77.59503132869679,43.174951246281395,46624,"916 North St, Rochester, NY, 14605",2018,7,2230,2018-07-18T22:30:00.000Z,2018,7,740,2018-07-19T07:40:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,Theft from Motor Vehicle,Parking Lot,43.174951,-77.59509600000001
3946,-77.59503132869679,43.174951246281395,46625,"916 North St, Rochester, NY, 14605",2018,6,100,2018-06-15T01:00:00.000Z,2018,6,100,2018-06-15T01:00:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,Theft from Motor Vehicle,Yard,43.174951,-77.59509600000001
3947,-77.6183789255516,43.17037560066421,46636,"246 Martin St, Rochester, NY, 14605",2018,7,1055,2018-07-18T10:55:00.000Z,2018,7,1055,2018-07-18T10:55:00.000Z,M,Menacing 2nd: Weapon                                        ,4,Imitation Firearm,* No Larceny Type Specified *,Other Outside Location,43.17037759999999,-77.61831839999999
3948,-77.6183789255516,43.17037560066421,46637,"246 Martin St, Rochester, NY, 14605",2018,1,1200,2018-01-01T12:00:00.000Z,2018,1,0,2018-01-02T00:00:00.000Z,F,Burglary 2nd: Illegal Entry: Dwelling                       ,5,* No Weapon Specified *,* No Larceny Type Specified *,Multiple Dwelling,43.17037759999999,-77.61831839999999
3949,-77.64748913681721,43.1316226376884,46678,"710 Post Ave, Rochester, NY, 14619",2018,2,1500,2018-02-08T15:00:00.000Z,2018,2,1800,2018-02-08T18:00:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,Theft from Building,Single Family Home,43.1316334,-77.6474154
3950,-77.64748913681721,43.1316226376884,46679,"710 Post Ave, Rochester, NY, 14619",2018,1,2248,2018-01-09T22:48:00.000Z,2018,1,300,2018-01-10T03:00:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,All Other Larcenies,Other Residential,43.1316334,-77.6474154
3951,-77.6218661980891,43.1778574426616,46686,"55 Harris St, Rochester, NY, 14621",2018,6,1900,2018-06-25T19:00:00.000Z,2018,6,1550,2018-06-26T15:50:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,All Other Larcenies,Other Outside Location,43.177864,-77.621899
3952,-77.5771552442207,43.1674847740681,46695,"6 Diamond Pl, Rochester, NY, 14609",2018,10,2300,2018-10-02T23:00:00.000Z,2018,10,1100,2018-10-03T11:00:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,All Other Larcenies,Street,43.167522,-77.577078
3953,-77.6086973622411,43.1724716628235,46705,"131 Rauber St, Rochester, NY, 14605",2018,8,1200,2018-08-05T12:00:00.000Z,2018,8,1200,2018-08-05T12:00:00.000Z,F,Assault 2nd: Intent To Cause Physical Injury with Weapon/Ins,4,Knife/Cutting Instrument,* No Larceny Type Specified *,Other Residential,43.1723751,-77.6086593
3954,-77.5770475040728,43.17649119853699,46728,"27 Arbutus St, Rochester, NY, 14609",2018,5,2100,2018-05-18T21:00:00.000Z,2018,5,1200,2018-05-19T12:00:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,43.1765059,-77.5770091
3955,-77.6385361820825,43.1488641566555,46772,"35 Ardmore St, Rochester, NY, 14611",2018,3,1200,2018-03-14T12:00:00.000Z,2018,3,1130,2018-03-19T11:30:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,All Other Larcenies,Other Residential,43.1489223,-77.6383403
3956,-77.6039375719366,43.1777539610102,46812,"25 Friederich Park, Rochester, NY, 14621",2018,8,1945,2018-08-15T19:45:00.000Z,2018,8,1946,2018-08-15T19:46:00.000Z,M,Menacing 2nd: Weapon                                        ,4,Knife/Cutting Instrument,* No Larceny Type Specified *,Street,43.1777258,-77.6039399
3957,-77.6007978027773,43.190812664572896,46814,"235 Dunn St, Rochester, NY, 14621",2018,8,100,2018-08-25T01:00:00.000Z,2018,8,600,2018-08-25T06:00:00.000Z,F,Burglary 3rd: Illegal Entry with Intent to Commit a Crime   ,5,* No Weapon Specified *,* No Larceny Type Specified *,Garage/Shed,43.19079319999999,-77.60079089999999
3958,-77.64423176227609,43.1610200725468,46826,"531 Ames St, Rochester, NY, 14606",2018,9,1900,2018-09-28T19:00:00.000Z,2018,10,700,2018-10-21T07:00:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,Theft from Building,Single Family Home,43.1609898,-77.6442465
3959,-77.6394039111011,43.195616585711896,46835,"1565 Dewey Ave, Rochester, NY, 14615",2018,1,1440,2018-01-26T14:40:00.000Z,2018,1,1500,2018-01-26T15:00:00.000Z,F,Assault 2nd: Intent To Cause Physical Injury with Weapon/Ins,4,Knife/Cutting Instrument,* No Larceny Type Specified *,Street,43.1956322,-77.6392715
3960,-77.58325904941891,43.1733343482638,46839,"124 Hempel St, Rochester, NY, 14605",2018,3,1500,2018-03-21T15:00:00.000Z,2018,3,1900,2018-03-21T19:00:00.000Z,F,Burglary 2nd: Illegal Entry: Dwelling                       ,5,* No Weapon Specified *,* No Larceny Type Specified *,Multiple Dwelling,43.17331490000001,-77.5832719
3961,-77.6273548823322,43.141959328555004,46847,"250 Columbia Ave, Rochester, NY, 14608",2018,3,530,2018-03-27T05:30:00.000Z,2018,3,1530,2018-03-27T15:30:00.000Z,F,Burglary 2nd: Illegal Entry: Dwelling                       ,5,* No Weapon Specified *,* No Larceny Type Specified *,Single Family Home,43.1418286,-77.6273677
3962,-77.62411323659691,43.14461850853729,46857,"149 Champlain St, Rochester, NY, 14608",2018,8,2000,2018-08-14T20:00:00.000Z,2018,8,620,2018-08-15T06:20:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,Theft from Motor Vehicle,Other Residential,43.1445673,-77.62410070000001
